Soil,State,District,Season,water,crop
alluvial soil,Andhra Pradesh,PRAKASAM,Rabi,high,Rice
alluvial soil,Andhra Pradesh,PRAKASAM,Rabi,medium,Masoor
alluvial soil,Andhra Pradesh,PRAKASAM,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,SPSR NELLORE,Kharif,high,Rice
alluvial soil,Andhra Pradesh,SPSR NELLORE,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,SPSR NELLORE,Rabi,high,Rice
alluvial soil,Andhra Pradesh,SPSR NELLORE,Rabi,medium,Masoor
alluvial soil,Andhra Pradesh,SPSR NELLORE,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,SRIKAKULAM,Kharif,high,Rice
alluvial soil,Andhra Pradesh,SRIKAKULAM,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,SRIKAKULAM,Rabi,high,Rice
alluvial soil,Andhra Pradesh,SRIKAKULAM,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,VISAKHAPATANAM,Kharif,high,Rice
alluvial soil,Andhra Pradesh,VISAKHAPATANAM,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,VISAKHAPATANAM,Rabi,high,Rice
alluvial soil,Andhra Pradesh,VISAKHAPATANAM,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,VIZIANAGARAM,Kharif,high,Rice
alluvial soil,Andhra Pradesh,VIZIANAGARAM,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,VIZIANAGARAM,Rabi,high,Rice
alluvial soil,Andhra Pradesh,VIZIANAGARAM,Whole Year,high,Rice
alluvial soil,Andhra Pradesh,WEST GODAVARI,Kharif,high,Rice
alluvial soil,Andhra Pradesh,WEST GODAVARI,Kharif,medium,Masoor
alluvial soil,Andhra Pradesh,WEST GODAVARI,Rabi,high,Rice
alluvial soil,Andhra Pradesh,WEST GODAVARI,Whole Year,high,Rice
alluvial soil,Arunachal Pradesh,ANJAW,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,CHANGLANG,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,DIBANG VALLEY,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,EAST KAMENG,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,EAST SIANG,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,KURUNG KUMEY,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,LOHIT,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,LONGDING,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,LOWER DIBANG VALLEY,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,LOWER SUBANSIRI,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,PAPUM PARE,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,TAWANG,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,TIRAP,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,UPPER SIANG,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,UPPER SUBANSIRI,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,WEST KAMENG,Kharif,high,Rice
alluvial soil,Arunachal Pradesh,WEST SIANG,Kharif,high,Rice
alluvial soil,Assam,BAKSA,Autumn,high,Rice
alluvial soil,Assam,BAKSA,Autumn,medium,Paddy
alluvial soil,Assam,BAKSA,Rabi,medium,Masoor
alluvial soil,Assam,BAKSA,Summer,high,Rice
alluvial soil,Assam,BAKSA,Summer,medium,Paddy
alluvial soil,Assam,BAKSA,Winter,high,Rice
alluvial soil,Assam,BAKSA,Winter,medium,Paddy
alluvial soil,Assam,BARPETA,Autumn,high,Rice
alluvial soil,Assam,BARPETA,Autumn,medium,Paddy
alluvial soil,Assam,BARPETA,Rabi,medium,Masoor
alluvial soil,Assam,BARPETA,Summer,high,Rice
alluvial soil,Assam,BARPETA,Summer,medium,Paddy
alluvial soil,Assam,BARPETA,Winter,high,Rice
alluvial soil,Assam,BARPETA,Winter,medium,Paddy
alluvial soil,Assam,BONGAIGAON,Autumn,high,Rice
alluvial soil,Assam,BONGAIGAON,Autumn,medium,Paddy
alluvial soil,Assam,BONGAIGAON,Rabi,medium,Masoor
alluvial soil,Assam,BONGAIGAON,Summer,high,Rice
alluvial soil,Assam,BONGAIGAON,Summer,medium,Paddy
alluvial soil,Assam,BONGAIGAON,Winter,high,Rice
alluvial soil,Assam,BONGAIGAON,Winter,medium,Paddy
alluvial soil,Assam,CACHAR,Autumn,high,Rice
alluvial soil,Assam,CACHAR,Autumn,medium,Paddy
alluvial soil,Assam,CACHAR,Rabi,medium,Masoor
alluvial soil,Assam,CACHAR,Summer,high,Rice
alluvial soil,Assam,CACHAR,Summer,medium,Paddy
alluvial soil,Assam,CACHAR,Winter,high,Rice
alluvial soil,Assam,CACHAR,Winter,medium,Paddy
alluvial soil,Assam,CHIRANG,Autumn,high,Rice
alluvial soil,Assam,CHIRANG,Autumn,medium,Paddy
alluvial soil,Assam,CHIRANG,Rabi,medium,Masoor
alluvial soil,Assam,CHIRANG,Summer,high,Rice
alluvial soil,Assam,CHIRANG,Summer,medium,Paddy
alluvial soil,Assam,CHIRANG,Winter,high,Rice
alluvial soil,Assam,CHIRANG,Winter,medium,Paddy
alluvial soil,Assam,DARRANG,Autumn,high,Rice
alluvial soil,Assam,DARRANG,Autumn,medium,Paddy
alluvial soil,Assam,DARRANG,Rabi,medium,Masoor
alluvial soil,Assam,DARRANG,Summer,high,Rice
alluvial soil,Assam,DARRANG,Summer,medium,Paddy
alluvial soil,Assam,DARRANG,Winter,high,Rice
alluvial soil,Assam,DARRANG,Winter,medium,Paddy
alluvial soil,Assam,DHEMAJI,Autumn,high,Rice
alluvial soil,Assam,DHEMAJI,Autumn,medium,Paddy
alluvial soil,Assam,DHEMAJI,Rabi,medium,Masoor
alluvial soil,Assam,DHEMAJI,Summer,high,Rice
alluvial soil,Assam,DHEMAJI,Summer,medium,Paddy
alluvial soil,Assam,DHEMAJI,Winter,high,Rice
alluvial soil,Assam,DHEMAJI,Winter,medium,Paddy
alluvial soil,Assam,DHUBRI,Autumn,high,Rice
alluvial soil,Assam,DHUBRI,Autumn,medium,Paddy
alluvial soil,Assam,DHUBRI,Rabi,medium,Masoor
alluvial soil,Assam,DHUBRI,Summer,high,Rice
alluvial soil,Assam,DHUBRI,Summer,medium,Paddy
alluvial soil,Assam,DHUBRI,Winter,high,Rice
alluvial soil,Assam,DHUBRI,Winter,medium,Paddy
alluvial soil,Assam,DIBRUGARH,Autumn,high,Rice
alluvial soil,Assam,DIBRUGARH,Autumn,medium,Paddy
alluvial soil,Assam,DIBRUGARH,Rabi,medium,Masoor
alluvial soil,Assam,DIBRUGARH,Summer,high,Rice
alluvial soil,Assam,DIBRUGARH,Summer,medium,Paddy
alluvial soil,Assam,DIBRUGARH,Winter,high,Rice
alluvial soil,Assam,DIBRUGARH,Winter,medium,Paddy
alluvial soil,Assam,DIMA HASAO,Autumn,high,Rice
alluvial soil,Assam,DIMA HASAO,Autumn,medium,Paddy
alluvial soil,Assam,DIMA HASAO,Rabi,medium,Masoor
alluvial soil,Assam,DIMA HASAO,Summer,high,Rice
alluvial soil,Assam,DIMA HASAO,Summer,medium,Paddy
alluvial soil,Assam,DIMA HASAO,Winter,high,Rice
alluvial soil,Assam,DIMA HASAO,Winter,medium,Paddy
alluvial soil,Assam,GOALPARA,Autumn,high,Rice
alluvial soil,Assam,GOALPARA,Autumn,medium,Paddy
alluvial soil,Assam,GOALPARA,Rabi,medium,Masoor
alluvial soil,Assam,GOALPARA,Summer,high,Rice
alluvial soil,Assam,GOALPARA,Summer,medium,Paddy
alluvial soil,Assam,GOALPARA,Winter,high,Rice
alluvial soil,Assam,GOALPARA,Winter,medium,Paddy
alluvial soil,Assam,GOLAGHAT,Autumn,high,Rice
alluvial soil,Assam,GOLAGHAT,Autumn,medium,Paddy
alluvial soil,Assam,GOLAGHAT,Rabi,medium,Masoor
alluvial soil,Assam,GOLAGHAT,Summer,high,Rice
alluvial soil,Assam,GOLAGHAT,Summer,medium,Paddy
alluvial soil,Assam,GOLAGHAT,Winter,high,Rice
alluvial soil,Assam,GOLAGHAT,Winter,medium,Paddy
alluvial soil,Assam,HAILAKANDI,Autumn,high,Rice
alluvial soil,Assam,HAILAKANDI,Autumn,medium,Paddy
alluvial soil,Assam,HAILAKANDI,Rabi,medium,Masoor
alluvial soil,Assam,HAILAKANDI,Summer,high,Rice
alluvial soil,Assam,HAILAKANDI,Summer,medium,Paddy
alluvial soil,Assam,HAILAKANDI,Winter,high,Rice
alluvial soil,Assam,HAILAKANDI,Winter,medium,Paddy
alluvial soil,Assam,JORHAT,Autumn,high,Rice
alluvial soil,Assam,JORHAT,Autumn,medium,Paddy
alluvial soil,Assam,JORHAT,Rabi,medium,Masoor
alluvial soil,Assam,JORHAT,Summer,high,Rice
alluvial soil,Assam,JORHAT,Summer,medium,Paddy
alluvial soil,Assam,JORHAT,Winter,high,Rice
alluvial soil,Assam,JORHAT,Winter,medium,Paddy
alluvial soil,Assam,KAMRUP,Autumn,high,Rice
alluvial soil,Assam,KAMRUP,Autumn,medium,Paddy
alluvial soil,Assam,KAMRUP,Rabi,medium,Masoor
alluvial soil,Assam,KAMRUP,Summer,high,Rice
alluvial soil,Assam,KAMRUP,Summer,medium,Paddy
alluvial soil,Assam,KAMRUP,Winter,high,Rice
alluvial soil,Assam,KAMRUP,Winter,medium,Paddy
alluvial soil,Assam,KAMRUP METRO,Autumn,high,Rice
alluvial soil,Assam,KAMRUP METRO,Autumn,medium,Paddy
alluvial soil,Assam,KAMRUP METRO,Rabi,medium,Masoor
alluvial soil,Assam,KAMRUP METRO,Summer,high,Rice
alluvial soil,Assam,KAMRUP METRO,Summer,medium,Paddy
alluvial soil,Assam,KAMRUP METRO,Winter,high,Rice
alluvial soil,Assam,KAMRUP METRO,Winter,medium,Paddy
alluvial soil,Assam,KARBI ANGLONG,Autumn,high,Rice
alluvial soil,Assam,KARBI ANGLONG,Autumn,medium,Paddy
alluvial soil,Assam,KARBI ANGLONG,Rabi,medium,Masoor
alluvial soil,Assam,KARBI ANGLONG,Summer,high,Rice
alluvial soil,Assam,KARBI ANGLONG,Summer,medium,Paddy
alluvial soil,Assam,KARBI ANGLONG,Winter,high,Rice
alluvial soil,Assam,KARBI ANGLONG,Winter,medium,Paddy
alluvial soil,Assam,KARIMGANJ,Autumn,high,Rice
alluvial soil,Assam,KARIMGANJ,Autumn,medium,Paddy
alluvial soil,Assam,KARIMGANJ,Rabi,medium,Masoor
alluvial soil,Assam,KARIMGANJ,Summer,high,Rice
alluvial soil,Assam,KARIMGANJ,Summer,medium,Paddy
alluvial soil,Assam,KARIMGANJ,Winter,high,Rice
alluvial soil,Assam,KARIMGANJ,Winter,medium,Paddy
alluvial soil,Assam,KOKRAJHAR,Autumn,high,Rice
alluvial soil,Assam,KOKRAJHAR,Autumn,medium,Paddy
alluvial soil,Assam,KOKRAJHAR,Rabi,medium,Masoor
alluvial soil,Assam,KOKRAJHAR,Summer,high,Rice
alluvial soil,Assam,KOKRAJHAR,Summer,medium,Paddy
alluvial soil,Assam,KOKRAJHAR,Winter,high,Rice
alluvial soil,Assam,KOKRAJHAR,Winter,medium,Paddy
alluvial soil,Assam,LAKHIMPUR,Autumn,high,Rice
alluvial soil,Assam,LAKHIMPUR,Autumn,medium,Paddy
alluvial soil,Assam,LAKHIMPUR,Rabi,medium,Masoor
alluvial soil,Assam,LAKHIMPUR,Summer,high,Rice
alluvial soil,Assam,LAKHIMPUR,Summer,medium,Paddy
alluvial soil,Assam,LAKHIMPUR,Winter,high,Rice
alluvial soil,Assam,LAKHIMPUR,Winter,medium,Paddy
alluvial soil,Assam,MARIGAON,Autumn,high,Rice
alluvial soil,Assam,MARIGAON,Autumn,medium,Paddy
alluvial soil,Assam,MARIGAON,Rabi,medium,Masoor
alluvial soil,Assam,MARIGAON,Summer,high,Rice
alluvial soil,Assam,MARIGAON,Summer,medium,Paddy
alluvial soil,Assam,MARIGAON,Winter,high,Rice
alluvial soil,Assam,MARIGAON,Winter,medium,Paddy
alluvial soil,Assam,NAGAON,Autumn,high,Rice
alluvial soil,Assam,NAGAON,Autumn,medium,Paddy
alluvial soil,Assam,NAGAON,Rabi,medium,Masoor
alluvial soil,Assam,NAGAON,Summer,high,Rice
alluvial soil,Assam,NAGAON,Summer,medium,Paddy
alluvial soil,Assam,NAGAON,Winter,high,Rice
alluvial soil,Assam,NAGAON,Winter,medium,Paddy
alluvial soil,Assam,NALBARI,Autumn,high,Rice
alluvial soil,Assam,NALBARI,Autumn,medium,Paddy
alluvial soil,Assam,NALBARI,Rabi,medium,Masoor
alluvial soil,Assam,NALBARI,Summer,high,Rice
alluvial soil,Assam,NALBARI,Summer,medium,Paddy
alluvial soil,Assam,NALBARI,Winter,high,Rice
alluvial soil,Assam,NALBARI,Winter,medium,Paddy
alluvial soil,Assam,SIVASAGAR,Autumn,high,Rice
alluvial soil,Assam,SIVASAGAR,Autumn,medium,Paddy
alluvial soil,Assam,SIVASAGAR,Rabi,medium,Masoor
alluvial soil,Assam,SIVASAGAR,Summer,high,Rice
alluvial soil,Assam,SIVASAGAR,Summer,medium,Paddy
alluvial soil,Assam,SIVASAGAR,Winter,high,Rice
alluvial soil,Assam,SIVASAGAR,Winter,medium,Paddy
alluvial soil,Assam,SONITPUR,Autumn,high,Rice
alluvial soil,Assam,SONITPUR,Autumn,medium,Paddy
alluvial soil,Assam,SONITPUR,Rabi,medium,Masoor
alluvial soil,Assam,SONITPUR,Summer,high,Rice
alluvial soil,Assam,SONITPUR,Summer,medium,Paddy
alluvial soil,Assam,SONITPUR,Winter,high,Rice
alluvial soil,Assam,SONITPUR,Winter,medium,Paddy
alluvial soil,Assam,TINSUKIA,Autumn,high,Rice
alluvial soil,Assam,TINSUKIA,Autumn,medium,Paddy
alluvial soil,Assam,TINSUKIA,Rabi,medium,Masoor
alluvial soil,Assam,TINSUKIA,Summer,high,Rice
alluvial soil,Assam,TINSUKIA,Summer,medium,Paddy
alluvial soil,Assam,TINSUKIA,Winter,high,Rice
alluvial soil,Assam,TINSUKIA,Winter,medium,Paddy
alluvial soil,Assam,UDALGURI,Autumn,high,Rice
alluvial soil,Assam,UDALGURI,Autumn,medium,Paddy
alluvial soil,Assam,UDALGURI,Rabi,medium,Masoor
alluvial soil,Assam,UDALGURI,Summer,high,Rice
alluvial soil,Assam,UDALGURI,Summer,medium,Paddy
alluvial soil,Assam,UDALGURI,Winter,high,Rice
alluvial soil,Assam,UDALGURI,Winter,medium,Paddy
alluvial soil,Bihar,ARARIA,Autumn,high,Rice
alluvial soil,Bihar,ARARIA,Kharif,high,Rice
alluvial soil,Bihar,ARARIA,Rabi,medium,Masoor
alluvial soil,Bihar,ARARIA,Summer,high,Rice
alluvial soil,Bihar,ARARIA,Winter,high,Rice
alluvial soil,Bihar,ARWAL,Autumn,high,Rice
alluvial soil,Bihar,ARWAL,Rabi,medium,Masoor
alluvial soil,Bihar,ARWAL,Summer,high,Rice
alluvial soil,Bihar,ARWAL,Winter,high,Rice
alluvial soil,Bihar,AURANGABAD,Autumn,high,Rice
alluvial soil,Bihar,AURANGABAD,Kharif,high,Rice
alluvial soil,Bihar,AURANGABAD,Rabi,medium,Masoor
alluvial soil,Bihar,AURANGABAD,Summer,high,Rice
alluvial soil,Bihar,AURANGABAD,Winter,high,Rice
alluvial soil,Bihar,BANKA,Autumn,high,Rice
alluvial soil,Bihar,BANKA,Kharif,high,Rice
alluvial soil,Bihar,BANKA,Rabi,medium,Masoor
alluvial soil,Bihar,BANKA,Summer,high,Rice
alluvial soil,Bihar,BANKA,Winter,high,Rice
alluvial soil,Bihar,BEGUSARAI,Autumn,high,Rice
alluvial soil,Bihar,BEGUSARAI,Kharif,high,Rice
alluvial soil,Bihar,BEGUSARAI,Rabi,medium,Masoor
alluvial soil,Bihar,BEGUSARAI,Summer,high,Rice
alluvial soil,Bihar,BEGUSARAI,Winter,high,Rice
alluvial soil,Bihar,BHAGALPUR,Autumn,high,Rice
alluvial soil,Bihar,BHAGALPUR,Kharif,high,Rice
alluvial soil,Bihar,BHAGALPUR,Rabi,medium,Masoor
alluvial soil,Bihar,BHAGALPUR,Summer,high,Rice
alluvial soil,Bihar,BHAGALPUR,Winter,high,Rice
alluvial soil,Bihar,BHOJPUR,Autumn,high,Rice
alluvial soil,Bihar,BHOJPUR,Kharif,high,Rice
alluvial soil,Bihar,BHOJPUR,Rabi,medium,Masoor
alluvial soil,Bihar,BHOJPUR,Summer,high,Rice
alluvial soil,Bihar,BHOJPUR,Winter,high,Rice
alluvial soil,Bihar,BUXAR,Autumn,high,Rice
alluvial soil,Bihar,BUXAR,Rabi,medium,Masoor
alluvial soil,Bihar,BUXAR,Summer,high,Rice
alluvial soil,Bihar,BUXAR,Winter,high,Rice
alluvial soil,Bihar,DARBHANGA,Autumn,high,Rice
alluvial soil,Bihar,DARBHANGA,Kharif,high,Rice
alluvial soil,Bihar,DARBHANGA,Rabi,medium,Masoor
alluvial soil,Bihar,DARBHANGA,Summer,high,Rice
alluvial soil,Bihar,DARBHANGA,Winter,high,Rice
alluvial soil,Bihar,GAYA,Autumn,high,Rice
alluvial soil,Bihar,GAYA,Kharif,high,Rice
alluvial soil,Bihar,GAYA,Rabi,medium,Masoor
alluvial soil,Bihar,GAYA,Summer,high,Rice
alluvial soil,Bihar,GAYA,Winter,high,Rice
alluvial soil,Bihar,GOPALGANJ,Autumn,high,Rice
alluvial soil,Bihar,GOPALGANJ,Kharif,high,Rice
alluvial soil,Bihar,GOPALGANJ,Rabi,medium,Masoor
alluvial soil,Bihar,GOPALGANJ,Summer,high,Rice
alluvial soil,Bihar,GOPALGANJ,Winter,high,Rice
alluvial soil,Bihar,JAMUI,Autumn,high,Rice
alluvial soil,Bihar,JAMUI,Kharif,high,Rice
alluvial soil,Bihar,JAMUI,Rabi,medium,Masoor
alluvial soil,Bihar,JAMUI,Summer,high,Rice
alluvial soil,Bihar,JAMUI,Winter,high,Rice
alluvial soil,Bihar,JEHANABAD,Autumn,high,Rice
alluvial soil,Bihar,JEHANABAD,Kharif,high,Rice
alluvial soil,Bihar,JEHANABAD,Rabi,medium,Masoor
alluvial soil,Bihar,JEHANABAD,Summer,high,Rice
alluvial soil,Bihar,JEHANABAD,Winter,high,Rice
alluvial soil,Bihar,KAIMUR (BHABUA),Autumn,high,Rice
alluvial soil,Bihar,KAIMUR (BHABUA),Kharif,high,Rice
alluvial soil,Bihar,KAIMUR (BHABUA),Rabi,medium,Masoor
alluvial soil,Bihar,KAIMUR (BHABUA),Summer,high,Rice
alluvial soil,Bihar,KAIMUR (BHABUA),Winter,high,Rice
alluvial soil,Bihar,KATIHAR,Autumn,high,Rice
alluvial soil,Bihar,KATIHAR,Kharif,high,Rice
alluvial soil,Bihar,KATIHAR,Rabi,medium,Masoor
alluvial soil,Bihar,KATIHAR,Summer,high,Rice
alluvial soil,Bihar,KATIHAR,Winter,high,Rice
alluvial soil,Bihar,KHAGARIA,Autumn,high,Rice
alluvial soil,Bihar,KHAGARIA,Kharif,high,Rice
alluvial soil,Bihar,KHAGARIA,Rabi,medium,Masoor
alluvial soil,Bihar,KHAGARIA,Summer,high,Rice
alluvial soil,Bihar,KHAGARIA,Winter,high,Rice
alluvial soil,Bihar,KISHANGANJ,Autumn,high,Rice
alluvial soil,Bihar,KISHANGANJ,Kharif,high,Rice
alluvial soil,Bihar,KISHANGANJ,Rabi,medium,Masoor
alluvial soil,Bihar,KISHANGANJ,Summer,high,Rice
alluvial soil,Bihar,KISHANGANJ,Winter,high,Rice
alluvial soil,Bihar,LAKHISARAI,Autumn,high,Rice
alluvial soil,Bihar,LAKHISARAI,Rabi,medium,Masoor
alluvial soil,Bihar,LAKHISARAI,Winter,high,Rice
alluvial soil,Bihar,MADHEPURA,Autumn,high,Rice
alluvial soil,Bihar,MADHEPURA,Kharif,high,Rice
alluvial soil,Bihar,MADHEPURA,Rabi,medium,Masoor
alluvial soil,Bihar,MADHEPURA,Summer,high,Rice
alluvial soil,Bihar,MADHEPURA,Winter,high,Rice
alluvial soil,Bihar,MADHUBANI,Autumn,high,Rice
alluvial soil,Bihar,MADHUBANI,Kharif,high,Rice
alluvial soil,Bihar,MADHUBANI,Rabi,medium,Masoor
alluvial soil,Bihar,MADHUBANI,Summer,high,Rice
alluvial soil,Bihar,MADHUBANI,Winter,high,Rice
alluvial soil,Bihar,MUNGER,Autumn,high,Rice
alluvial soil,Bihar,MUNGER,Kharif,high,Rice
alluvial soil,Bihar,MUNGER,Rabi,medium,Masoor
alluvial soil,Bihar,MUNGER,Summer,high,Rice
alluvial soil,Bihar,MUNGER,Winter,high,Rice
alluvial soil,Bihar,MUZAFFARPUR,Autumn,high,Rice
alluvial soil,Bihar,MUZAFFARPUR,Kharif,high,Rice
alluvial soil,Bihar,MUZAFFARPUR,Rabi,medium,Masoor
alluvial soil,Bihar,MUZAFFARPUR,Summer,high,Rice
alluvial soil,Bihar,MUZAFFARPUR,Winter,high,Rice
alluvial soil,Bihar,NALANDA,Autumn,high,Rice
alluvial soil,Bihar,NALANDA,Rabi,medium,Masoor
alluvial soil,Bihar,NALANDA,Summer,high,Rice
alluvial soil,Bihar,NALANDA,Winter,high,Rice
alluvial soil,Bihar,NAWADA,Autumn,high,Rice
alluvial soil,Bihar,NAWADA,Kharif,high,Rice
alluvial soil,Bihar,NAWADA,Rabi,medium,Masoor
alluvial soil,Bihar,NAWADA,Summer,high,Rice
alluvial soil,Bihar,NAWADA,Winter,high,Rice
alluvial soil,Bihar,PASHCHIM CHAMPARAN,Autumn,high,Rice
alluvial soil,Bihar,PASHCHIM CHAMPARAN,Kharif,high,Rice
alluvial soil,Bihar,PASHCHIM CHAMPARAN,Rabi,medium,Masoor
alluvial soil,Bihar,PASHCHIM CHAMPARAN,Summer,high,Rice
alluvial soil,Bihar,PASHCHIM CHAMPARAN,Winter,high,Rice
alluvial soil,Bihar,PATNA,Autumn,high,Rice
alluvial soil,Bihar,PATNA,Kharif,high,Rice
alluvial soil,Bihar,PATNA,Rabi,medium,Masoor
alluvial soil,Bihar,PATNA,Summer,high,Rice
alluvial soil,Bihar,PATNA,Winter,high,Rice
alluvial soil,Bihar,PURBI CHAMPARAN,Autumn,high,Rice
alluvial soil,Bihar,PURBI CHAMPARAN,Kharif,high,Rice
alluvial soil,Bihar,PURBI CHAMPARAN,Rabi,medium,Masoor
alluvial soil,Bihar,PURBI CHAMPARAN,Summer,high,Rice
alluvial soil,Bihar,PURBI CHAMPARAN,Winter,high,Rice
alluvial soil,Bihar,PURNIA,Autumn,high,Rice
alluvial soil,Bihar,PURNIA,Kharif,high,Rice
alluvial soil,Bihar,PURNIA,Rabi,medium,Masoor
alluvial soil,Bihar,PURNIA,Summer,high,Rice
alluvial soil,Bihar,PURNIA,Winter,high,Rice
alluvial soil,Bihar,ROHTAS,Autumn,high,Rice
alluvial soil,Bihar,ROHTAS,Kharif,high,Rice
alluvial soil,Bihar,ROHTAS,Rabi,medium,Masoor
alluvial soil,Bihar,ROHTAS,Summer,high,Rice
alluvial soil,Bihar,ROHTAS,Winter,high,Rice
alluvial soil,Bihar,SAHARSA,Autumn,high,Rice
alluvial soil,Bihar,SAHARSA,Kharif,high,Rice
alluvial soil,Bihar,SAHARSA,Rabi,medium,Masoor
alluvial soil,Bihar,SAHARSA,Summer,high,Rice
alluvial soil,Bihar,SAHARSA,Winter,high,Rice
alluvial soil,Bihar,SAMASTIPUR,Autumn,high,Rice
alluvial soil,Bihar,SAMASTIPUR,Kharif,high,Rice
alluvial soil,Bihar,SAMASTIPUR,Rabi,medium,Masoor
alluvial soil,Bihar,SAMASTIPUR,Summer,high,Rice
alluvial soil,Bihar,SAMASTIPUR,Winter,high,Rice
alluvial soil,Bihar,SARAN,Autumn,high,Rice
alluvial soil,Bihar,SARAN,Kharif,high,Rice
alluvial soil,Bihar,SARAN,Rabi,medium,Masoor
alluvial soil,Bihar,SARAN,Summer,high,Rice
alluvial soil,Bihar,SARAN,Winter,high,Rice
alluvial soil,Bihar,SHEIKHPURA,Autumn,high,Rice
alluvial soil,Bihar,SHEIKHPURA,Rabi,medium,Masoor
alluvial soil,Bihar,SHEIKHPURA,Summer,high,Rice
alluvial soil,Bihar,SHEIKHPURA,Winter,high,Rice
alluvial soil,Bihar,SHEOHAR,Autumn,high,Rice
alluvial soil,Bihar,SHEOHAR,Kharif,high,Rice
alluvial soil,Bihar,SHEOHAR,Rabi,medium,Masoor
alluvial soil,Bihar,SHEOHAR,Summer,high,Rice
alluvial soil,Bihar,SHEOHAR,Winter,high,Rice
alluvial soil,Bihar,SITAMARHI,Autumn,high,Rice
