crop,Fertilizers
Beet Root,"All plants need three major macro-nutrients: nitrogen, potassium and phosphorus. Nitrogen drives the formation of leaves and is part of photosynthesis. Potassium enhances fruit development and increases resistance to disease. Phosphorus helps in the production of flowers and increases root growth and uptake.Proper soil pH must exist in soil in order for efficient nutrient uptake. Beets need a soil pH of 6.0 to 6.8 for optimum growth. The plants can tolerate a slighter higher pH, but no more than 7.0. is preferable. Perform a soil test to determine the status of pH levels prior to planting and tweak as necessary.Boron is necessary for feeding beet plants. Low levels of boron will cause black sunken spots on and in the root. Internal black spot can be prevented with ½ ounce of Borax per 100 square feet. Excess boron is damaging to some other food crops, so a soil test is necessary to indicate if Borax is needed."
Ber,"Because peas are good foragers, they don't need much fertilizer - especially nitrogen. A day or two before planting, broadcast three to four pounds of 5-10-10 commercial fertilizer over each 100 square feet of garden space. Then work it into the top two to three inches of soil.Peas grow best in soil with a pH between 6 and 7.5. Use well-rotted manure or compost at planting. Continuous use of high phosphorus fertilizer such as 10-10-10 or 15-30-15, or high rates of manure or manure compost results in phosphorus buildup in the soil."
Bhindi,"Mix 10-10-10 fertilizer into the soil with a shovel before planting to a depth of 4 inches, about 3 ounces for every 100 square feet of area. The numbers on the fertilizer label indicate the percentages of three critical nutrients: nitrogen, phosphorus and potassium. A 10-10-10 is said to be a “balanced” fertilizer in that it has equal amounts of these three critical nutrients.Reapply the fertilizer every four to six weeks during the growing season. Irrigate the soil each time you apply fertilizer."
Bitter Gourd,"The fertilizer doses to be applied depend on variety, fertility of soil, climate and season of planting.Generally well decomposed FYM (15-20 t/ha) is mixed with the soil during ploughing. Therecommended dose of fertilizer to be applied per hectare is 50-100 kg. N, 40-60 kg P2O5 and 30-60 kg   K2O. Half the N and entire P & K should be applied before planting. The balance N is given at the time of  flowering. The fertilizer is applied in a ring at 6-7 cm from the base of the stem. It is better to complete all the fertilizer applications just before the fruit set.Bitter gourd responds well to soil rich in organic matter and inorganic nutrients."
Black pepper,Manuring and fertilizer application.Application of lime or dolomite @ 500 g/vine in April - May during alternate years is recommended under highly acid soil conditions. Organic manures in the form of cattle manure or compost can be given @ 10 kg/vine during May.
Blackgram,"Because peas are good foragers, they don't need much fertilizer - especially nitrogen. A day or two before planting, broadcast three to four pounds of 5-10-10 commercial fertilizer over each 100 square feet of garden space. Then work it into the top two to three inches of soil.Peas grow best in soil with a pH between 6 and 7.5. Use well-rotted manure or compost at planting. Continuous use of high phosphorus fertilizer such as 10-10-10 or 15-30-15, or high rates of manure or manure compost results in phosphorus buildup in the soil."
Bottle Gourd,"Potassium. A large amount of potassium also aids in encouraging the bottle gourd to make fruit instead of more vines. When planting, the soil can be fertilized with one-fifth pound of potassium per 100 square feet. Potash is commonly used in organic gardens as a good source of potassium."
Brinjal,"Start by working lots of compost into the soil, plus 2 to 3 pounds of a complete fertilizer like 15-5-10 per 100 sq. ft. If you prefer, use an organic fertilizer like blood meal, well-rotted manure, cottonseed meal or bat guano. Burpee's Big Boy Tomato Food is also super for eggplants.When it comes to watering eggplants in container gardens, keep the potting soil constantly moist but not soggy."
Cabbage,"Apply 30 t/ha FYM, 90 kg N, 90 kg P and 90 kg K as basal and 45:45:45 kg NPK/ha on 30 to 45 days after planting. Apply 20 t/ha of FYM, 50 kg N, 125 kg P and 25 kg K/ha along with 2 kg Azospirillum as basal and 50 kg N after one month of planting and earth up.Add a nitrogen-heavy, liquid fertilizer (such as 21-0-0) once you determine the plants are ready. Put about 1/2 cup of the fertilizer into the mix for every 10 feet of cabbage row in your garden plot."
Cardamom,"If any cardamom plantations maintained under proper irrigation and soil management, biological NPK of 16-4-8 and 10-8-8 may replace the bulk application of acid forming fertilizers. PH buffered biological NPK is the best fit for Cardamom."
Carrot,"Carrots should be fertilized when the tops have reached 3 inches tall. A granular type fertilizer will work well, if used in moderation. Choose a fertilizer that has little nitrogen and more potassium and phosphate - 0-10-10 or 5-15-15 will work well.Carrots should be fertilized when the tops have reached 3 inches tall. A granular type fertilizer will work well, if used in moderation. Choose a fertilizer that has little nitrogen and more potassium and phosphate - 0-10-10 or 5-15-15 will work well."
Cashewnut,"Application of 10-15 kg of farmyard manure or compost annually is generally recommended for cashew. In addition, the current fertilizer recommendation is 500g N (1.1 kg urea), 125g P 2O 5(625g rock phosphate) and 125g K 2 O (208g muriate of potash) per tree per year."
Cashewnut Processed,"Application of 10-15 kg of farmyard manure or compost annually is generally recommended for cashew. In addition, the current fertilizer recommendation is 500g N (1.1 kg urea), 125g P 2O 5(625g rock phosphate) and 125g K 2 O (208g muriate of potash) per tree per year."
Cashewnut Raw,"Application of 10-15 kg of farmyard manure or compost annually is generally recommended for cashew. In addition, the current fertilizer recommendation is 500g N (1.1 kg urea), 125g P 2O 5(625g rock phosphate) and 125g K 2 O (208g muriate of potash) per tree per year."
Castor seed,"The fertilizer dose recommended for castor is 40 N-40 P-20 K kg/ha. The entire dose of P and K and half of W is applied basally and the remaining half of W about 30 days after sowing, as and when the soil moisture is adequate."
Cauliflower,"Generally, the cauliflower crop is required to give 200 kg of Nitrogen, 75 kg of phosphorus and 75 kg potassium per hectare for optimum yield. Nitrogen 100 kg, 75 kg phosphorus and 75 kg potash should be applied at the time of transplanting.Cauliflower plants can be heavy feeders. Apply 1 to 2 pounds of an all-purpose fertilizer (20-20-20 per 100 feet of row). Side dress 3 weeks later with ammonium sulphate at rate of 1/2 cup per 10 feet of row."
Citrus Fruit,"All cultivars require proper fertilization for fruit development. Citrus trees are sensitive to a high salt concentration in the soil. Yield decrease due to soil salinity:0% at EC 1.7ds/m, 10% at 2.3ds/m, 25% at 3.3ds/m, 50% at 4.8ds/m, and 100% at EC 8 ds/m.The phosphorus requirements of citrus trees are low, so a good citrus fertilizer will have a nitrogen- and potassium-heavy N-P-K ratio such as 13-7-13."
Coconut,"From 5th year onwards, apply 50 kg of FYM or compost or green manure. 1.3 kg urea (560 g N), 2.0 kg super phosphate (320 g P2O5) and 2.0 kg muriate of potash (1200 g K2O) in two equal splits during June – July and December – January.Apply manures and fertilizers in circular basins of 1.8 m from the base of the palm, incorporate and irrigate.During 2nd, 3rd and 4th year ¼, ½ and ¾ doses of the above fertilizer schedule should be adopted respectively.Sufficient moisture should be present at the time of manuring.Fertigation may be done at monthly intervals with 75% of the recommended dose of the above fertilizers.Phosphorus may be applied as super phosphate in the basins and incorporated or as DAP through drip when good quality of water is available."
Coffee,"Growth medium: 150 ml/pot of (soil - 70% + manure - 30%). After emergence ( at a developmental stage of 2 leaves) Foliar spraying with 0.3% mixture of: 0.5 B + 2.2 Mg +7 Zn + 10 N.Coffee tree requires sufficient and regular supply of nutrients to produce high yield and good qualitybeans. Since it is a heavy feeder of nutrients, it extracts huge quantities of mineral nutrients from thesoil. Compost prepared from coffee processing by-products is therefore believed to supply much if not all of the mineral nutrients required by the coffee tree for optimal growth and sustainedyield. Varying nutrient composition figures of coffee pulp compost have been reported from different countries"
Colocosia,"Apply 25 tonnes of FYM, 20 kg N, 30 kg P and 60 kg K/ha as basal and 20 kg N, 30 kg P and 60 kg K/ha on 45 days after planting.Tubers and rooted plants should be planted 2 to 4 inches deep in the potting mix or soil. All elephant ear varieties are considered heavy-feeders, requiring rich, fertile, slightly acidic soil. Fertilize your plants once a month with a slow-release, water-soluble 20-20-20 fertilizer."
Cond-spcs other,"Each crop needs a different range of nutrients at every critical stage of its development. For example, nitrogen and phosphorous are often more critical at early stages of growth to fuel root and leaf development, whereas zinc and boron are important during flowering."
Coriander,"Apply Nitrogen@40kg in the form of Urea@90kg/acre in three splits. Apply half at the time of sowing and remaining in two equal splits after first and second cutting of leaves. When crop is grown for seed purpose, apply Nitrogen@30kg/acre i.e 65kg/acre in two doses, half at sowing time and remaining at time of flower initiation.To attain fast growth 15-20 days after germination take spray of Triacontanol hormone@20ml/10Ltr. Also one spray of N:P:K(19:19:19) fertilizer@75gm/15Ltr of water at 20 days of sowing helps in good and faster growth of crop. For obtaining more yield, spray Brassinolide@50ml/acre in150Ltr water, 40-50 days after sowing. Take second spray after 10 days. Also one spray of Mono ammoniumPhosphate 12:61:00@45gm/15Ltr of water at leaf and branches growing stage helps in good growth and increases yield."
Cotton(lint),"A common fertilization schedule applied by many cotton growers is adding 440 lbs. (200 kg) of N-P-K 20-10-10 per hectare during sowing (through the sowing machine), and 440 lbs. ... (250 kg) of ammonium nitrate, 400 lbs. (181 kg) of N-P-K 0-46-0 and 400 lbs. (181 kg) of N-P-K 0-0-50 per hectare throughout the year."
Cowpea(Lobia),"Cowpea (Vigna unguiculata (L.) ... Cowpea does not require too much nitrogen fertilizer because it fixes its own nitrogen from the air using the nodules in its roots. However, in areas where soils are poor in nitrogen, there is a need to apply a small quantity of about 15 kg of nitrogen as a starter dose for a good crop."
Cucumber,"Plants are heavy feeders, so be sure to feed the soil with rich compost or aged manure. After the vines develop runners and the first flowers appear, follow up with a side dressing of compost, aged manure, or fertilizer. If the leaves are yellowish, the plants need more nitrogen."
Drum Stick,"After the third month of sowing or planting, 100 grams of urea, 100 grams of superphosphate, and 50 grams of murate of potash should be applied to each plant or pit. During flowering time apply 100 grams of urea pet plant or pit."
Dry chillies,"A good 5-10-10 fertilizer is usually sufficient for peppers. Work it into the soil before transplanting, about 3 pounds per 100 square feet. ... Much, however, is affected by your soil, so you may want to consider a soil test if you are having issues."
Dry ginger,"Like most plants, ginger requires large amounts of nitrogen, phosphorus and potassium, collectively called macronutrients. Still, too much nitrogen can burn the roots of a ginger plant, while too little can stall new growth. For ginger, choose a soil-mixed fertilizer with a 5-5-5 mixture of nutrients."
Garlic,"Fertilization of garlic plants should occur in the spring, if you planted in the fall. Fertilizing your garlic can occur either by side dressing or broadcasting fertilizer over the entire bed. The best garlic plant fertilizer will be high in nitrogen, those containing blood meal or a synthetic source of nitrogen."
Ginger,"Like most plants, ginger requires large amounts of nitrogen, phosphorus and potassium, collectively called macronutrients. Still, too much nitrogen can burn the roots of a ginger plant, while too little can stall new growth. For ginger, choose a soil-mixed fertilizer with a 5-5-5 mixture of nutrients."
Gram,"Use Manures and Fertilizers of Gram crops. ... Chemical fertilizer requirement are also very less being a leguminous crop, only 10 -15 kilogram nitrogen, 30 kilogram phosphorus and 20 kilogram potash are suggested under irrigated condition and even less quantities are required for rainfed conditions."
Grapes,"Apply 5-10 pounds of poultry or rabbit manure, or 5-20 pounds of steer or cow manure per vine. Other nitrogen-rich grapevine fertilizers (such as urea, ammonium nitrate and ammonium sulfate) should be applied after the vine has blossomed or when grapes are about ¼ inch across."
Groundnut,"Groundnut being a legume crop meets mostly its nitrogen requirement through fixation of nitrogen in the atmosphere. So, groundnut may not respond to large application of nitrogen fertilizers. Excess of nitrogen results in too much of vegetative growth at the expense of groundnut pod production."
Guar seed,"Manures and fertilizers needed for guar cultivation Clusterbean being a leguminous crop, needs a small quantity of nitrogen as a starter dose during early growth period. Clusterbean requires 20 kg N and 40 kg P2O5 per hectare. ... Fertilizer should be placed at least 5 cm below the seed."
Horse-gram,Horse gram seeds are treated with carbendazim (bavistin ) 2g for every k g of seeds. Biofungicide like Trichoderma viridi is recommended for pulses at the rate of 4g per kg seed. After fungicide treatment seed should be inoculated with Rhizobium and PSB culture @ 5 - 7 g/kg of seed.
Jack Fruit,"For jackfruit plantation, 1 x 1 x 1 m pits are dug at least 10 days before planting. About 30 kg well rotten farmyard manure and 500 g super phosphate are mixed with the soil of each pit and the pit is refilled. Approximately, 2 g/litre chloropyriphos should be applied in the pit to avoid insect attack."
Jobster,"The most widely used solid inorganic fertilizers are urea, diammonium phosphate and potassium chloride. Solid fertilizer is typically granulated or powdered."
Jowar,"20 kg N, 15 kg O2 P5 and 12 kg K2 O/ acre as basal dose and 15 kg N/acre as top dressing at 20-30 days after sowing. Under irrigation fertiliser dose can be increased to 80N and 40 P kg/ha. N should be applied in two splits, 50% at sowing and 50% as top dose at 30 days after sowing."
Jute,"Five tonnes of well decomposed farm yard manure is to be applied during last ploughing. Besides 20 kg per ha each of N, P2O5 and K2O are to be applied basally. Beds and channels are formed depending on water resources.Top dressing of fertiliser:Apply 10 kg of N at 20 - 25 days after first weeding and then again on 35 - 40 days after second weeding as top dressing.During periods of drought and fertilizer shortage, spray 8 kg of urea as 2 per cent urea solution (20 g urea in one litre of water) on jute foliage on 40 - 45 as well as 70 - 75 DAS."
Jute & mesta,"Five tonnes of well decomposed farm yard manure is to be applied during last ploughing. Besides 20 kg per ha each of N, P2O5 and K2O are to be applied basally. Beds and channels are formed depending on water resources.In a medium fertile soil, the recommended dose of fertilizer for mesta is N-40kg/ha, P – 20 kg/ha and K-20kg/ha. Since, mesta is raised mainly under rainfed condition, the recommended dose of N in such cases is 25 kg/ha and it is mainly recommended."
Kapas,"Ludicious use of fertilizers, irrigation and clean cultivation will prevent early build-up of pests and helps to conserve natural enemies of pests. To enhance subsidiary growth to have maximum number of boll bearing branches, cut top of growing point of main branch at around 5 feet height. At the time of last ploughing apply well decomposed cow dung @ 5-10 ton for rainfed and 10-20 ton per acre for irrigated soil. It will help to conserved moisture in soil. Fertilizer doses for Cotton varieties, apply Urea@65 kg and DAP@27 kg or SSP@75 kg per acre. And in case of hybrids, apply 130 kg/acre of Urea and DAP@27 kg or SSP@75 kg/acre. If DAP@27 kg is used instead of SSP then reduced Urea dose by 10 kg.Apply whole dose of phosphorus in last ploughing. Apply half of Nitrogen fertilizer at time of thinning and remaining half at the appearance of first flower. For low fertile soil, apply half dose of Nitrogen at time of sowing. To reduce nitrogen loss from Urea mix 8 kg sulphur powder/ 50 kg Urea and apply in etween rows of standing crop.WSF: 80-100 days after sowing, if no or poor flowering is observed then to enhance flowering spray with multi micronutrient fertilizer@750 gm/acre/150 Ltr of water. In case bt varieties to improve yield, spray with 13:0:45@10 gm or Potash@5 gm/Ltr of water at evening time on 85, 95 & 105th days after sowing. Also to get higher yield, take alternate sprays of Potassium@10 gm/Ltr and DAP@20 gm/Ltr (2-3 sprays each at 15 days interval from first blooming). Sometime flower and square drop is observed then to control flower drop and to obtain good yield spray with Planofix(NAA) @4 ml and Multi Micronutrient fertilizer@120 gm, Magnesium Sulphate@150 gm/15 Ltr water. Due to bad weather effect boll drop is seen then to control, spray 00:52:34@100 gm+Humic acid(>12%) @30 ml+Sticker @6 ml in 15 Ltr water thrice at 10 days interval. Leaf reddening is deficiency observed now a day. It cause mainly due to lack of nutrient management. It can be corrected by proper fertilizer management. For thattake Foliar spray of MgSO41 kg, followed by Urea@2 kg in 100 Ltr water."
Khesari,"Use Manures and Fertilizers of Gram crops. ... Chemical fertilizer requirement are also very less being a leguminous crop, only 10 -15 kilogram nitrogen, 30 kilogram phosphorus and 20 kilogram potash are suggested under irrigated condition and even less quantities are required for rainfed conditions."
Korra,"Finger millet responds well to fertilizer application especially to N and P. The recommended doses of fertilizers vary from state to state for rainfed crop. Apply recommended dose of 40:20:20 N:P:K kg/ha was applied. With judicious application of farmyard manure, inorganic fertilizer efficiency is enhanced."
Lab-Lab,"Fertilizers in Indian Bean Cultivation:- Being a legume crop, it requires less nitrogen in the soil. Farm yard manure (FMY) of 5 to 8 tonnes, 10 kg of 'N' and 20 kg of 'P' should be applied in 1 hectare land at the time of sowing the seeds. In case of intercropping, inter-crops require separate fertilizer application."
Lemon,"Mature lemon trees should be fertilized every 1–2 months during the growing season and less often during the dormant period. The ratio of nitrogen: phosphorous: potassium, should be 2:1:1. There is a water-soluble fertilizer called “Miracid Soil Acidifier”, this fertilizer is 3:1:1, which works well for lemon trees.Mature lemon trees should be fertilized every 1–2 months during the growing season and less often during the dormant period. The ratio of nitrogen: phosphorous: potassium, should be 2:1:1. There is a water-soluble fertilizer called “Miracid Soil Acidifier”, this fertilizer is 3:1:1, which works well for lemon trees."
Lentil,"In lentil grown in calcareous alluvial soils, apply 1.6 kg of Boron per ha as basal to each crop. In soils, low in Zn, soil application of 20 kg Zinc Sulphate is recommended under rainfed and late sown condition; foliar spray of 2% urea improves yield."
Linseed,"NPK fertilizers are applied 5 to 10 cm away and below the seed in moist soil layers, especially under dryland cultivation. Depending on the soil type, about 40 kg P2O5 /ha is recommended for linseed. About K2O kg/ha is suggested. "
Litchi,"The nutrient requirements of litchi are very high. Apart from the major requirements N, P and K which contributes to profuse vegetative growth and flower initiation, micronutrients such as calcium, magnesium, zinc, boron and copper also play an important role in flowering and fruiting. In India, litchi is grown mostly in the fertile belt and hence very little or no fertilizer is given. However, soil analysis should be done to determine the exact doses of fertilizer.1/3 dose of nitrogen, 1/2 dose of potash, full dose of phosphorous and FYM should be given in the month of June-July just after the harvesting at a distance of 1.0 - 1.5 m from the main trunk of the tree. Beside that 20-25 gm copper sulphate, zinc sulphate and boron per plant per year should be given in the month of June-July. After the application of fertilizers, light irrigation should be done. 1/3 dose of nitrogen should be given in the month of February at the time of flowering. Remaining 1/2 dose of potash and 1/3 dose of nitrogen."
Maize,Spread 12.5 t/ha of FYM or compost or composted coir pith evenly on the unploughed field along with 10 packets of Azospirillum + Phosphobacteria 2 kg each/ha or Azophos at 4 kg/ha and incorporate in the soil. Apply NPK fertilizers as per soil test recommendation as far as possible.
Mango,"In general, fertilizers for bearing trees should contain 9 to 15 percent potassium and phosphorus should be reduced to 2 to 4 percent. Commonly available fertilizer mixes that are satisfactory for mango trees include 6-6-6 and 8-3-9-2, the 2 indicating magnesium.Mango trees need higher doses of nitrogen when young, but after they begin to bear fruit, they need less. Use a commercial organic fertilizer with a high percentage of potassium, such 5-8-10, for fruit-bearing trees, or apply these nutrients with organic materials."
Masoor,"The recommended dose of fertilizers is 20kg N, 40kg P, 20 kg K and 20kg S/ha. In soils low in Zinc, soil application of 20 kg ZnSO4 is recommended under rainfed and and late sown conditions. Foliar spray of 2% urea improves yield."
Mesta,"In a medium fertile soil, the recommended dose of fertilizer for mesta is N- 40kg/ha, P – 20 kg/ha and K-20kg/ha. Since, mesta is raised mainly under rainfed condition, the recommended dose of N in such cases is 25 kg/ha and it is mainly recommended."
Moong(Green Gram),10 cartloads (5 tones) of well-decomposed compost like cow dung or any other good compost should be spread along with a basal application of 120 kg superphosphate and 20 kg urea/acre. Irrigated condition : 50 kg P2O + 25 kg N + 50 kg P2O5 + 20 kg S /ha.
Moth,"Use Manures and Fertilizers of Gram crops. ... Chemical fertilizer requirement are also very less being a leguminous crop, only 10 -15 kilogram nitrogen, 30 kilogram phosphorus and 20 kilogram potash are suggested under irrigated condition and even less quantities are required for rainfed conditions."
Niger seed,"The price of fertilizer product remains the same as of the last report. The average price of NPK 15:15:15 is N8,500 dan lawal is still the only available brand. While NPK 20:10:10 golden and kasco are available at N8,500 and N5,800 respectively."
Oilseeds total,"Out of 16 essential elements, pulses specially need adequate amount of P, Ca, Mg, S and Mo. Phosphorus is required for proper root growth and growth of rhizobia. Calcium and magnesium are required to stimulate growth and to increase the size of the nodules, pod formation and grain setting."
Onion,Application of 15 kg sulphur/ha is sufficient for growing onion crops in soils having sulphur level above 25 kg/ha while 30 kg sulphur/ha is needed for soils having sulphur level below 25 kg/ha for optimum production of onion. Soil application of 50 kg S /ha is recommended for long day onion crops.
Orange,"Apply a slow-release nitrogen fertilizer solution, such as ammonium nitrate, ammonium sulfate or urea, three times per year -- once during early spring, early summer and early fall. Nitrogen fertilizers alone does not balance your orange tree's nutrition requirements."
Other  Rabi pulses,"Pulses are a low carbon footprint food When soil is fertilized with nitrogen in the form of manure, fertilizer, or crop residue, soil micro-organisms convert some of this nitrogen into nitrous oxide, which is a powerful greenhouse gas."
Other Cereals & Millets,"Millet responds well to fertilizer application especially to N and P. The recommended doses of fertilizers vary from state to state for rainfed crop. Apply recommended dose of 40:20:20 N:P:K kg/ha was applied. With judicious application of farmyard manure, inorganic fertilizer efficiency is enhanced."
Other Citrus Fruit,"The phosphorus requirements of citrus trees are low, so a good citrus fertilizer will have a nitrogen- and potassium-heavy N-P-K ratio such as 13-7-13.All citrus trees will benefit from a slightly nitrogen rich or balanced NPK fertilizer that also has some micro-nutrients in it like: magnesium,manganese,iron,copper,zinc,boron,Citrus trees also like to have somewhat acidic soil, so an acidic fertilizer can also be beneficial in citrus tree fertilizing, though not required. The easiest citrus fertilizer to use is the kind made specifically for citrus trees."
Other Dry Fruit,"Most tree fertilizers contain a blend of nitrogen, phosphorus, and potassium, or NPK.You will usually see the ratio of these ingredients printed on the bag. It’s usually 10-10-10 or 12-12-12. A balanced ratio of these 3 things makes the fertilizer safe to use on most trees.In addition to nitrogen, phosphorus, and potassium, plants also need calcium for strong cell walls and overall health, magnesium for seed formation and regulation, and sulfur which is necessary to create the chlorophyll needed for photosynthesis."
Other Fresh Fruits,"Most tree fertilizers contain a blend of nitrogen, phosphorus, and potassium, or NPK.You will usually see the ratio of these ingredients printed on the bag. It’s usually 10-10-10 or 12-12-12. A balanced ratio of these 3 things makes the fertilizer safe to use on most trees.In addition to nitrogen, phosphorus, and potassium, plants also need calcium for strong cell walls and overall health, magnesium for seed formation and regulation, and sulfur which is necessary to create the chlorophyll needed for photosynthesis."
Other Kharif pulses,"Out of 16 essential elements, pulses specially need adequate amount of P, Ca, Mg, S and Mo. Phosphorus is required for proper root growth and growth of rhizobia. Calcium and magnesium are required to stimulate growth and to increase the size of the nodules, pod formation and grain setting."
Other Vegetables,"Most summer vegetables are heavy feeders, with corn and tomatoes being some of the heaviest nitrogen consumers. To provide consistent nutrients for fruit-producing plants, add quick-release fertilizer to the soil every three to four weeks. Before planting the summer garden, work slow-release fertilizer into the soil."
Paddy,"In addition, we compared the performance of three types of nitrogenous fertilizer (urea, ammonium sulfate and ammonium nitrate) on growth and yield. Urea had the highest nitrogen efficiency and should therefore be the fertilizer of choice for the cultivation of paddy rice in developing countries."
Papaya,"For papaya, fertilizers should be applied once in every two months. Although fertilizer application in a particular region depends on the soil and leaf analysis, generally 90 g of Urea, 250 g of Super phosphate and 140 g of Muriate of Potash per plant are recommended for each application."
Peach,"A good fertilizer for peach trees is one that has an even balance of the three major nutrients, nitrogen, phosphorus and potassium. For this reason, a good peach tree fertilizer is a 10-10-10 fertilizer, but any balanced fertilizer, such as 12-12-12 or 20-20-20, will do. When you are fertilizing peach trees, the fertilizer shouldn’t be placed near the trunk of the tree. This can cause damage to the tree and will also prevent the nutrients from reaching the roots of the tree. Instead, fertilize your peach tree about 8-12 inches from the trunk of the tree. This will get the fertilizer out to a range where the roots can take the nutrients up without the fertilizer causing tree damage."
Pear,"In general, pear trees thrive when macronutrients like Nitrogen (N), Phosphorous (P), and Potassium (K) are present. Nitrogen helps encourage vegetative growth (leaves and branches).: Spray copper before the fall rains; spray lime-sulfur two to three times beginning in fall, again during winter, and finally in March just before buds open; spray dormant oil in early spring before buds open and wettable sulfur just after petal fall."
Peas  (vegetable),"Because peas are good foragers, they don't need much fertilizer - especially nitrogen. A day or two before planting, broadcast three to four pounds of 5-10-10 commercial fertilizer over each 100 square feet of garden space. Then work it into the top two to three inches of soil.Peas grow best in soil with a pH between 6 and 7.5. Use well-rotted manure or compost at planting. Continuous use of high phosphorus fertilizer such as 10-10-10 or 15-30-15, or high rates of manure or manure compost results in phosphorus buildup in the soil."
Peas & beans (Pulses),"Because peas are good foragers, they don't need much fertilizer - especially nitrogen. A day or two before planting, broadcast three to four pounds of 5-10-10 commercial fertilizer over each 100 square feet of garden space.Determine fertilizer needs by a soil test. In general, 600 to 800 pounds of 10-10-10 per acre is adequate if at least ½ of the fertilizer is placed 3 inches to the side and slightly below the seed. Do not use more than 600 pounds in band placement because beans are highly susceptible to fertilizer burn."
Perilla,Newly planted trees should be fertilized only lightly until they have become well established. This usually is not until after their first growing season.Mature trees may need fertilization every two or three years to maintain good foliage color and vigor.
Pineapple,"A dry fertilizer that contains 6 to 10 percent nitrogen, 6 to 10 percent potash, 6 to 10 percent phosphoric acid and 4 to 6 percent magnesium works well. Young pineapple plants should be fertilized every two months or so during the growing season.Coffee grounds are rich in Nitrogen. Pineapples love them. ... The additional Nitrogen inhibits blooming. I stopped sprinkling the grounds, added a little manure mixture, plenty of water (it's been dry lately.)"
